tweet, sentiment_label
b'RT @MMDAfegbua: Philipp Maier: "This lab would original take 45minutes, but you will be given 90minutes."\nMe: After 89minutes, "Is it me or\xe2\x80\xa6', Positive
b'Philipp Maier: "This lab would original take 45minutes, but you will be given 90minutes."\nMe: After 89minutes, "Is\xe2\x80\xa6 https://t.co/EosdcZQAxn', Positive
b'RT @maxfez: Done with Essential cloud infrastructure on @pluralsight @qwiklabs Adding persistent environment variables to the shell profile\xe2\x80\xa6', Negative
b'Done with Essential cloud infrastructure on @pluralsight @qwiklabs Adding persistent environment variables to the s\xe2\x80\xa6 https://t.co/9fUkiZ6Vgw', Negative
b'RT @Je_suis_Franc: Day12: continued working on Responsive Website with Bootstrap 3 , learnt a lot from responsive images, navigation bars,\xe2\x80\xa6', Negative
b'RT @Vikilinho: Day \xf0\x9f\x94\xb210/150\n ALC4.0 \n#AndroidDeveloper \n#150DaysOfALC4 \n#ALCwithGoogle \n#GrowWithGoogle\n@andela_alc @pluralsight \n@Andela_Ni\xe2\x80\xa6', Negative
b'Day \xf0\x9f\x94\xb210/150\n ALC4.0 \n#AndroidDeveloper \n#150DaysOfALC4 \n#ALCwithGoogle \n#GrowWithGoogle\n@andela_alc @pluralsight\xe2\x80\xa6 https://t.co/S9bGYyJm1r', Negative
b'RT @musti_ngure: Traits of cloud \nElastic - scales up or down quickly\nMetered - pay only for what you use\nSelf-service - no (or reduced) ne\xe2\x80\xa6', Positive
b'Traits of cloud \nElastic - scales up or down quickly\nMetered - pay only for what you use\nSelf-service - no (or redu\xe2\x80\xa6 https://t.co/aXsdiEcI1O', Positive
b'RT @MMDAfegbua: About today...\nPhilipp Maier: 1 vCPU = Hyperthread Core, \n2 vCPUs = 1 Physical Core.\nMe: Pauses video, spends one hour unde\xe2\x80\xa6', Negative
b'About today...\nPhilipp Maier: 1 vCPU = Hyperthread Core, \n2 vCPUs = 1 Physical Core.\nMe: Pauses video, spends one h\xe2\x80\xa6 https://t.co/89KHOCnjSj', Negative
b'RT @Je_suis_Franc: Day12: continued working on Responsive Website with Bootstrap 3 , learnt a lot from responsive images, navigation bars,\xe2\x80\xa6', Negative
b'Day12: continued working on Responsive Website with Bootstrap 3 , learnt a lot from responsive images, navigation b\xe2\x80\xa6 https://t.co/QutSVjYp95', Negative
b"RT @cyril_thankgod: Today's discovery is https://t.co/WhrT5HqxRb and it is a good tool to understanding HTML 5 browser technologies.\n\n#150d\xe2\x80\xa6", Positive
b'RT @cyril_thankgod: Day 9/150\n\nHTML5 fundamentals really exposes a lot about achieving quick validation rules\n\n#150daysOfALC4 #Day9 #ALCWit\xe2\x80\xa6', Positive
b"Today's discovery is https://t.co/WhrT5HqxRb and it is a good tool to understanding HTML 5 browser technologies.\xe2\x80\xa6 https://t.co/7PYPRvWAH0", Positive
b'Day 9/150\n\nHTML5 fundamentals really exposes a lot about achieving quick validation rules\n\n#150daysOfALC4 #Day9\xe2\x80\xa6 https://t.co/BSIiNeoSbn', Positive
b'RT @KaranjaSuzanne: Day 6  Brushing up on Android Fundamentals: ConstraintLayout  with Rebecca Franks #GrowWithGoogle #ALCwithGoogle #150Da\xe2\x80\xa6', Negative
b'Day 6  Brushing up on Android Fundamentals: ConstraintLayout  with Rebecca Franks #GrowWithGoogle #ALCwithGoogle\xe2\x80\xa6 https://t.co/WaC0J2yP64', Negative
b'RT @oceandiaali: @nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills @angular So..wow! My F\xe2\x80\xa6', Negative
b'@nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills @angular So..wo\xe2\x80\xa6 https://t.co/dVugY1ogcD', Negative
b'RT @oceandiaali: @nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills ..(please judge me kin\xe2\x80\xa6', Negative
b'@nikmolnar @Andela_Nigeria @pluralsight @googleafrica @jonflanders @ShawnWildermuth @jonathanfmills ..(please judge\xe2\x80\xa6 https://t.co/YLFtAt73WF', Negative
