tweet, sentiment_label
b"RT @Andela_UG: It's official! \xf0\x9f\x93\xa2 ALC is now on social media. You heard us right!\n\nTwitter; @andela_alc \nFacebook page; https://t.co/3fRfWPo8\xe2\x80\xa6", Positive
b'RT @abubakarfasaha: Day 16: Today I launched "Building a JavaScript Development Environment" course by Cory House @housecor @pluralsight\n\nL\xe2\x80\xa6', Negative
b'@davidconoh @150DaysOfALC4 @andela_alc Yes it should, except for the dot before your console.log(a) \xf0\x9f\x98\x89', Negative
b"@Adeinfo1 @150DaysOfALC4 If you think you aren't getting the topics well enough, you could support your learning with @freeCodeCamp guide.", Negative
b'@I_am_Abigurl @150DaysOfALC4 Welcome Abigail', Positive
b'RT @OmotosoYusuf: While learning about the Video and Audio elements, I was still wondering how the images that displays like a background t\xe2\x80\xa6', Negative
b'While learning about the Video and Audio elements, I was still wondering how the images that displays like a backgr\xe2\x80\xa6 https://t.co/P2ipaLrYQn', Negative
b'RT @SirElvis01: Thank you \xf0\x9f\x99\x8fvery much guys  For the Best Wishes. I Promise to Make Kenya \xf0\x9f\x87\xb0\xf0\x9f\x87\xaa  Proud\n\nType YES WE CAN! if You believe we can #\xe2\x80\xa6', Positive
b"RT @silikhesilas: Day 16 of #150DaysOfALC4,\ncovered module 1 of Gerald Cohen's course\nDesighned a sign in /sign up form\n@Andela_Kenya,\n@goo\xe2\x80\xa6", Negative
b"Day 16 of #150DaysOfALC4,\ncovered module 1 of Gerald Cohen's course\nDesighned a sign in /sign up form\n@Andela_Kenya\xe2\x80\xa6 https://t.co/JwNDXymVqW", Negative
b"RT @Ratclad: Failures are failures when we don't learn from them but when we learn from them they become lessons... Owning my learning. #15\xe2\x80\xa6", Negative
b"Failures are failures when we don't learn from them but when we learn from them they become lessons... Owning my le\xe2\x80\xa6 https://t.co/lAG5IuGb77", Negative
b"RT @Andela_Nigeria: We're stoked to announce that the 1st phase of Learning for ALC 4.0 has begun. \xf0\x9f\x9a\x80\xf0\x9f\x8d\xbe\n\nWe'd like to congratulate all shortl\xe2\x80\xa6", Negative
b"RT @Lifeofdan_el: Day 14\n\nLooked at parameter immutability, found out that when we assign values to variables we're just making references\xe2\x80\xa6", Negative
b"Day 14\n\nLooked at parameter immutability, found out that when we assign values to variables we're just making refer\xe2\x80\xa6 https://t.co/8G7gwgBrJj", Negative
b'RT @OkamgbaDestiny: Just finished learning the fundamentals of cloud computing by @davidmdavis on @pluralsight .Was very resourceful. Next\xe2\x80\xa6', Positive
b'RT @GodwinAgedah: Day 16/150\nPerformed Exercises on @RWD, grey columns stack on mobile, but display inline on desktop. \xf0\x9f\x96\xa5\xef\xb8\x8f\n#150DaysOfALC4 #A\xe2\x80\xa6', Negative
b'Day 16/150\nPerformed Exercises on @RWD, grey columns stack on mobile, but display inline on desktop. \xf0\x9f\x96\xa5\xef\xb8\x8f\xe2\x80\xa6 https://t.co/JwUtnyvZKe', Negative
b'RT @andrew58934: Performing life cycle aware data loading (sqlite) @Android @Andela_UG #150DaysOfALC4', Positive
b'Performing life cycle aware data loading (sqlite) @Android @Andela_UG #150DaysOfALC4', Positive
b'RT @TheGreatCoder: #150DaysOfALC4 #GrowWithGoogle #ALC_4.0 @andela_alc\n\n1. Working with Navigation Drawer\n2. Testing Menu, Navigation Drawe\xe2\x80\xa6', Negative
b'#150DaysOfALC4 #GrowWithGoogle #ALC_4.0 @andela_alc\n\n1. Working with Navigation Drawer\n2. Testing Menu, Navigation\xe2\x80\xa6 https://t.co/M4w9vWsZRq', Negative
b'RT @jpoghene: Every company will soon become a data company; It\xe2\x80\x99s only a matter of time #alc_4.0 #GrowWithGoogle #150DaysOfALC4', Negative
b'RT @MakavuraM: \xe2\x80\x9cCloud native architecture | Day 9/150\xe2\x80\x9d by Makavura Mughanga https://t.co/gvi5I8TCnI\n#150DaysOfALC4 #GrowWithGoogle #alc4 #p\xe2\x80\xa6', Negative
b'\xe2\x80\x9cCloud native architecture | Day 9/150\xe2\x80\x9d by Makavura Mughanga https://t.co/gvi5I8TCnI\n#150DaysOfALC4 #GrowWithGoogle #alc4 #pluralsight', Negative
b'RT @MMDAfegbua: Philipp Maier: "This lab would original take 45minutes, but you will be given 90minutes."\nMe: After 89minutes, "Is it me or\xe2\x80\xa6', Positive
b'RT @maxfez: Done with Essential cloud infrastructure on @pluralsight @qwiklabs Adding persistent environment variables to the shell profile\xe2\x80\xa6', Negative
b'RT @Vikilinho: Day \xf0\x9f\x94\xb210/150\n ALC4.0 \n#AndroidDeveloper \n#150DaysOfALC4 \n#ALCwithGoogle \n#GrowWithGoogle\n@andela_alc @pluralsight \n@Andela_Ni\xe2\x80\xa6', Negative
b'RT @musti_ngure: Traits of cloud \nElastic - scales up or down quickly\nMetered - pay only for what you use\nSelf-service - no (or reduced) ne\xe2\x80\xa6', Positive
b'RT @OgunlanaOluwas6: ALC 4.0 First Meetup 2019!!\n@collins_celeb \n #ALC4withGoogle\n#GrowWithGoogle \n#ALC4.0Oshodi_Isolo\n#150DaysOfALC4 https\xe2\x80\xa6', Positive
b'RT @darctrac3: Day 12/150: \n1. Went through types of databases and useful database libraries in android.\n2. Compared sugar ORM, DBFlow, Ank\xe2\x80\xa6', Positive
